Date,Close/Last,Open,High,Low
07/06/2023,7882.23,7872.46,7888.28,7795.28
07/05/2023,7995.85,8016.77,8055.54,7990.01
07/03/2023,8073.74,8056.14,8079.99,8009.88
06/30/2023,8048.89,8013.28,8078.74,8006.40
06/29/2023,7937.73,7966.15,7966.25,7887.10
06/28/2023,7954.44,7901.21,8014.00,7888.41
06/27/2023,7970.22,7785.86,7987.78,7773.95
06/26/2023,7746.33,7778.50,7887.27,7744.85
06/23/2023,7763.61,7754.57,7805.57,7718.33
06/22/2023,7876.44,7758.92,7885.19,7754.63
06/21/2023,7818.08,7978.09,7990.50,7814.22
06/20/2023,8007.09,8025.31,8080.68,7939.94
06/16/2023,8081.74,8227.48,8232.25,8077.59
06/15/2023,8164.63,8044.07,8205.80,8034.24
06/14/2023,8101.00,8019.16,8102.11,7962.69
06/13/2023,8048.76,8067.72,8078.12,7960.42
06/12/2023,7955.17,7806.32,7957.21,7801.44
06/09/2023,7742.95,7791.67,7852.35,7701.78
06/08/2023,7722.80,7634.88,7743.23,7629.42
06/07/2023,7633.25,7827.24,7846.02,7616.02
06/06/2023,7791.79,7713.49,7836.96,7697.15
06/05/2023,7736.64,7735.59,7780.92,7661.57
06/02/2023,7758.52,7815.49,7835.96,7712.12
06/01/2023,7727.96,7604.73,7792.73,7577.05
05/31/2023,7643.05,7628.85,7702.11,7601.05
05/30/2023,7716.57,7846.21,7868.92,7678.07
05/26/2023,7700.76,7463.29,7725.95,7459.71
05/25/2023,7334.66,7266.81,7359.96,7196.03
05/24/2023,7082.28,7058.96,7115.80,7035.88
05/23/2023,7152.01,7211.39,7249.87,7149.80
05/22/2023,7267.82,7187.22,7290.49,7178.79
05/19/2023,7206.24,7225.92,7234.63,7174.28
05/18/2023,7225.46,7062.14,7233.73,7060.44
05/17/2023,7035.50,6937.41,7049.90,6901.03
05/16/2023,6901.34,6893.19,6948.26,6893.07
05/15/2023,6928.55,6781.03,6928.75,6775.22
05/12/2023,6777.36,6791.75,6801.57,6720.53
05/11/2023,6784.06,6814.29,6816.36,6739.03
05/10/2023,6805.91,6786.45,6829.51,6743.12
05/09/2023,6702.69,6709.66,6735.04,6690.71
05/08/2023,6762.17,6750.11,6768.99,6694.10
05/05/2023,6712.40,6614.47,6732.25,6610.63
05/04/2023,6607.96,6589.32,6664.25,6579.29
05/03/2023,6591.67,6634.08,6698.28,6587.92
05/02/2023,6641.61,6725.04,6731.90,6606.91
05/01/2023,6722.09,6699.59,6739.45,6685.39
04/28/2023,6714.22,6660.72,6715.01,6623.16
04/27/2023,6666.49,6621.46,6679.21,6552.95
04/26/2023,6554.42,6585.43,6634.36,6531.95
04/25/2023,6494.21,6659.34,6661.98,6493.59
04/24/2023,6734.73,6767.30,6794.33,6688.47
04/21/2023,6773.30,6780.05,6798.71,6719.28
04/20/2023,6800.49,6767.70,6879.80,6767.70
04/19/2023,6836.03,6808.14,6856.83,6795.09
04/18/2023,6889.75,6958.03,6972.02,6855.59
04/17/2023,6886.91,6842.94,6889.03,6821.64
04/14/2023,6887.87,6873.51,6948.40,6815.13
04/13/2023,6912.85,6835.76,6932.90,6833.55
04/12/2023,6806.47,6947.42,6965.77,6799.31
04/11/2023,6886.25,6913.42,6931.93,6870.83
04/10/2023,6913.74,6786.99,6916.88,6772.30
04/06/2023,6851.38,6777.85,6870.45,6732.37
04/05/2023,6843.21,6937.27,6941.40,6794.19
04/04/2023,6992.29,7083.99,7089.88,6963.57
04/03/2023,7064.56,7065.48,7086.91,7002.30
03/31/2023,7129.20,6988.64,7133.35,6985.57
03/30/2023,7006.71,6983.91,7040.81,6965.25
03/29/2023,6907.48,6834.05,6929.76,6818.77
03/28/2023,6737.38,6767.04,6767.07,6673.80
03/27/2023,6779.43,6847.79,6880.60,6753.17
03/24/2023,6831.23,6862.69,6870.56,6756.96
03/23/2023,6900.72,6847.68,6985.83,6812.35
03/22/2023,6738.61,6855.66,6972.87,6736.08
03/21/2023,6861.57,6831.56,6884.03,6766.76
03/20/2023,6783.62,6754.96,6795.63,6696.43
03/17/2023,6785.48,6823.75,6883.45,6746.26
03/16/2023,6831.42,6590.53,6841.63,6589.47
03/15/2023,6609.42,6557.57,6623.56,6499.67
03/14/2023,6632.84,6569.39,6644.05,6540.68
03/13/2023,6466.73,6361.62,6544.48,6320.80
03/10/2023,6432.29,6568.75,6599.02,6404.80
03/09/2023,6562.77,6699.20,6790.36,6553.35
03/08/2023,6713.40,6654.95,6723.93,6626.81
03/07/2023,6623.64,6709.74,6749.64,6603.88
03/06/2023,6707.66,6763.85,6830.68,6700.83
03/03/2023,6736.69,6629.78,6745.26,6613.46
03/02/2023,6646.84,6490.05,6669.20,6479.57
03/01/2023,6552.70,6606.34,6651.49,6542.90
02/28/2023,6594.16,6575.12,6658.63,6567.85
02/27/2023,6572.33,6622.06,6649.51,6564.05
02/24/2023,6529.77,6522.88,6572.14,6491.51
02/23/2023,6669.86,6695.86,6697.30,6557.18
02/22/2023,6533.84,6539.42,6590.33,6493.58
02/21/2023,6494.79,6568.89,6627.25,6489.85
02/17/2023,6682.69,6721.29,6740.07,6620.64
02/16/2023,6783.92,6818.54,6898.35,6777.75
02/15/2023,6981.96,6882.44,6983.42,6835.69
02/14/2023,6909.07,6735.81,6928.44,6714.50
02/13/2023,6784.28,6716.24,6799.37,6668.39
02/10/2023,6674.58,6688.56,6711.15,6608.11
02/09/2023,6763.83,6907.89,6935.40,6730.38
02/08/2023,6792.73,6915.85,6952.02,6783.83
02/07/2023,6912.81,6720.19,6941.84,6695.22
02/06/2023,6710.16,6714.59,6805.94,6687.50
02/03/2023,6823.53,6792.50,6962.75,6792.22
02/02/2023,6999.11,6933.75,7060.90,6887.60
02/01/2023,6759.07,6507.09,6810.73,6501.33
01/31/2023,6484.28,6368.18,6485.55,6359.77
01/30/2023,6363.26,6434.20,6466.63,6362.61
01/27/2023,6530.60,6430.25,6576.98,6428.63
01/26/2023,6525.36,6461.93,6528.86,6381.74
01/25/2023,6356.21,6234.00,6374.93,6176.34
01/24/2023,6372.96,6363.09,6428.20,6343.84
01/23/2023,6418.57,6228.76,6429.62,6216.53
01/20/2023,6206.22,6045.74,6211.73,6030.84
01/19/2023,6000.51,6047.28,6081.04,5982.27
01/18/2023,6091.30,6239.84,6284.73,6088.06
01/17/2023,6176.48,6125.88,6194.50,6110.27
01/13/2023,6150.90,6044.35,6155.74,6044.35
01/12/2023,6111.51,6077.69,6137.27,5959.36
01/11/2023,6066.50,5985.85,6068.03,5945.14
01/10/2023,5970.00,5899.82,5973.47,5867.28
01/09/2023,5930.80,5917.87,6040.90,5898.06
01/06/2023,5828.48,5705.37,5855.14,5615.79
01/05/2023,5647.49,5714.31,5725.19,5642.31
01/04/2023,5801.00,5811.74,5844.70,5728.25
01/03/2023,5713.33,5855.06,5880.48,5666.97
12/30/2022,5751.76,5674.85,5754.01,5652.53
12/29/2022,5765.56,5652.59,5779.86,5633.15
12/28/2022,5582.57,5638.63,5691.86,5567.60
12/27/2022,5662.57,5698.10,5706.04,5628.58
12/23/2022,5735.32,5695.92,5739.63,5645.42
12/22/2022,5737.92,5838.18,5843.38,5637.81
12/21/2022,5949.47,5868.57,5977.35,5839.64
12/20/2022,5862.82,5801.47,5899.83,5789.95
12/19/2022,5865.13,5954.32,5960.94,5825.76
12/16/2022,5970.97,5987.18,6034.21,5926.40
12/15/2022,6006.03,6142.10,6161.84,5985.36
12/14/2022,6249.53,6312.38,6386.02,6180.89
12/13/2022,6309.91,6494.25,6509.49,6234.07
12/12/2022,6189.58,6045.18,6190.55,6040.73
12/09/2022,6057.02,6072.28,6141.29,6034.97
12/08/2022,6084.19,5972.51,6107.17,5941.56
12/07/2022,5942.38,5935.58,5988.04,5898.45
12/06/2022,5964.69,6089.12,6093.62,5923.12
12/05/2022,6094.49,6196.65,6213.59,6053.58
12/02/2022,6233.76,6152.09,6251.04,6133.98
12/01/2022,6327.92,6297.09,6376.66,6235.38
11/30/2022,6252.48,5931.01,6253.42,5912.32
11/29/2022,5940.89,5994.26,6009.31,5916.35
11/28/2022,5978.94,6040.82,6104.88,5953.21
11/25/2022,6092.73,6104.95,6129.71,6092.73
11/23/2022,6150.59,6051.39,6174.09,6050.23
11/22/2022,6072.85,5982.25,6075.63,5916.53
11/21/2022,5965.15,5988.69,6017.56,5943.31
11/18/2022,6059.44,6184.92,6185.18,6001.18
